district,date,month,year,visitors,visitor_type
Yadadri Bhongir,2016-01-01,January,2016,0,Domestic
Yadadri Bhongir,2016-02-01,February,2016,0,Domestic
Yadadri Bhongir,2016-03-01,March,2016,0,Domestic
Yadadri Bhongir,2016-04-01,April,2016,0,Domestic
Yadadri Bhongir,2016-05-01,May,2016,0,Domestic
Yadadri Bhongir,2016-06-01,June,2016,0,Domestic
Yadadri Bhongir,2016-07-01,July,2016,0,Domestic
Yadadri Bhongir,2016-08-01,August,2016,0,Domestic
Yadadri Bhongir,2016-09-01,September,2016,0,Domestic
Yadadri Bhongir,2016-10-01,October,2016,584800,Domestic
Yadadri Bhongir,2016-11-01,November,2016,681000,Domestic
Yadadri Bhongir,2016-12-01,December,2016,462800,Domestic
Adilabad,2017-01-01,January,2017,318799,Domestic
Adilabad,2017-02-01,February,2017,83316,Domestic
Adilabad,2017-03-01,March,2017,27508,Domestic
Adilabad,2017-04-01,April,2017,13946,Domestic
Adilabad,2017-05-01,May,2017,11752,Domestic
Adilabad,2017-06-01,June,2017,26859,Domestic
Adilabad,2017-07-01,July,2017,52386,Domestic
Adilabad,2017-08-01,August,2017,34876,Domestic
Adilabad,2017-09-01,September,2017,42699,Domestic
Adilabad,2017-10-01,October,2017,41666,Domestic
Adilabad,2017-11-01,November,2017,117322,Domestic
Adilabad,2017-12-01,December,2017,54251,Domestic
Bhadradri Kothagudem,2017-01-01,January,2017,302315,Domestic
Bhadradri Kothagudem,2017-02-01,February,2017,251359,Domestic
Bhadradri Kothagudem,2017-03-01,March,2017,243943,Domestic
Bhadradri Kothagudem,2017-04-01,April,2017,667459,Domestic
Bhadradri Kothagudem,2017-05-01,May,2017,311626,Domestic
Bhadradri Kothagudem,2017-06-01,June,2017,351742,Domestic
Bhadradri Kothagudem,2017-07-01,July,2017,258114,Domestic
Bhadradri Kothagudem,2017-08-01,August,2017,316438,Domestic
Bhadradri Kothagudem,2017-09-01,September,2017,381784,Domestic
Bhadradri Kothagudem,2017-10-01,October,2017,334504,Domestic
Bhadradri Kothagudem,2017-11-01,November,2017,281515,Domestic
Bhadradri Kothagudem,2017-12-01,December,2017,393518,Domestic
Hyderabad,2017-01-01,January,2017,1924695,Domestic
Hyderabad,2017-02-01,February,2017,1886698,Domestic
Hyderabad,2017-03-01,March,2017,1783903,Domestic
Hyderabad,2017-04-01,April,2017,2366793,Domestic
Hyderabad,2017-05-01,May,2017,2266793,Domestic
Hyderabad,2017-06-01,June,2017,2007060,Domestic
Hyderabad,2017-07-01,July,2017,1890870,Domestic
Hyderabad,2017-08-01,August,2017,1976980,Domestic
Hyderabad,2017-09-01,September,2017,2011280,Domestic
Hyderabad,2017-10-01,October,2017,2202316,Domestic
Hyderabad,2017-11-01,November,2017,1971438,Domestic
Hyderabad,2017-12-01,December,2017,4871416,Domestic
Jagtial,2017-01-01,January,2017,174477,Domestic
Jagtial,2017-02-01,February,2017,159659,Domestic
Jagtial,2017-03-01,March,2017,323658,Domestic
Jagtial,2017-04-01,April,2017,330540,Domestic
Jagtial,2017-05-01,May,2017,468038,Domestic
Jagtial,2017-06-01,June,2017,418103,Domestic
Jagtial,2017-07-01,July,2017,247254,Domestic
Jagtial,2017-08-01,August,2017,386458,Domestic
Jagtial,2017-09-01,September,2017,143102,Domestic
Jagtial,2017-10-01,October,2017,248504,Domestic
Jagtial,2017-11-01,November,2017,348042,Domestic
Jagtial,2017-12-01,December,2017,393566,Domestic
Jangaon,2017-01-01,January,2017,12280,Domestic
Jangaon,2017-02-01,February,2017,12610,Domestic
Jangaon,2017-03-01,March,2017,8450,Domestic
Jangaon,2017-04-01,April,2017,9788,Domestic
Jangaon,2017-05-01,May,2017,12130,Domestic
Jangaon,2017-06-01,June,2017,13750,Domestic
Jangaon,2017-07-01,July,2017,16050,Domestic
Jangaon,2017-08-01,August,2017,15680,Domestic
Jangaon,2017-09-01,September,2017,15600,Domestic
Jangaon,2017-10-01,October,2017,16130,Domestic
Jangaon,2017-11-01,November,2017,16360,Domestic
Jangaon,2017-12-01,December,2017,16880,Domestic
Jayashankar Bhoopalpally,2017-01-01,January,2017,96560,Domestic
Jayashankar Bhoopalpally,2017-02-01,February,2017,96850,Domestic
Jayashankar Bhoopalpally,2017-03-01,March,2017,81400,Domestic
Jayashankar Bhoopalpally,2017-04-01,April,2017,90700,Domestic
Jayashankar Bhoopalpally,2017-05-01,May,2017,91150,Domestic
Jayashankar Bhoopalpally,2017-06-01,June,2017,93650,Domestic
Jayashankar Bhoopalpally,2017-07-01,July,2017,94700,Domestic
Jayashankar Bhoopalpally,2017-08-01,August,2017,118350,Domestic
Jayashankar Bhoopalpally,2017-09-01,September,2017,112600,Domestic
Jayashankar Bhoopalpally,2017-10-01,October,2017,115250,Domestic
Jayashankar Bhoopalpally,2017-11-01,November,2017,116800,Domestic
Jayashankar Bhoopalpally,2017-12-01,December,2017,723000,Domestic
Jogulamba Gadwal,2017-01-01,January,2017,214887,Domestic
Jogulamba Gadwal,2017-02-01,February,2017,481110,Domestic
Jogulamba Gadwal,2017-03-01,March,2017,155013,Domestic
Jogulamba Gadwal,2017-04-01,April,2017,131426,Domestic
Jogulamba Gadwal,2017-05-01,May,2017,131426,Domestic
Jogulamba Gadwal,2017-06-01,June,2017,160182,Domestic
Jogulamba Gadwal,2017-07-01,July,2017,160182,Domestic
Jogulamba Gadwal,2017-08-01,August,2017,131485,Domestic
Jogulamba Gadwal,2017-09-01,September,2017,123733,Domestic
Jogulamba Gadwal,2017-10-01,October,2017,152898,Domestic
Jogulamba Gadwal,2017-11-01,November,2017,188170,Domestic
Jogulamba Gadwal,2017-12-01,December,2017,214887,Domestic
Kamareddy,2017-01-01,January,2017,58,Domestic
Kamareddy,2017-02-01,February,2017,50,Domestic
Kamareddy,2017-03-01,March,2017,41,Domestic
Kamareddy,2017-04-01,April,2017,46,Domestic
Kamareddy,2017-05-01,May,2017,60,Domestic
Kamareddy,2017-06-01,June,2017,41,Domestic
Kamareddy,2017-07-01,July,2017,41,Domestic
Kamareddy,2017-08-01,August,2017,40,Domestic
Kamareddy,2017-09-01,September,2017,41,Domestic
Kamareddy,2017-10-01,October,2017,38,Domestic
Kamareddy,2017-11-01,November,2017,43,Domestic
Kamareddy,2017-12-01,December,2017,41,Domestic
Karimnagar,2017-01-01,January,2017,14425,Domestic
